RESIDENCE,persons,workers,vehicles,output,count
"Roanoke city, Virginia",Total households,2 workers,"Total, vehicles available",Margin of Error,733
"Roanoke city, Virginia",Total households,2 workers,0 vehicles,Estimate,270
"Roanoke city, Virginia",Total households,2 workers,0 vehicles,Margin of Error,122
"Roanoke city, Virginia",Total households,2 workers,1 vehicle,Estimate,"1,480"
"Roanoke city, Virginia",Total households,2 workers,1 vehicle,Margin of Error,282
"Roanoke city, Virginia",Total households,2 workers,2 vehicles,Estimate,"5,705"
"Roanoke city, Virginia",Total households,2 workers,2 vehicles,Margin of Error,568
"Roanoke city, Virginia",Total households,2 workers,3-or-more vehicles,Estimate,"2,895"
"Roanoke city, Virginia",Total households,2 workers,3-or-more vehicles,Margin of Error,367
"Roanoke city, Virginia",Total households,3 workers,"Total, vehicles available",Estimate,"1,425"
"Roanoke city, Virginia",Total households,3 workers,"Total, vehicles available",Margin of Error,293
"Roanoke city, Virginia",Total households,3 workers,0 vehicles,Estimate,20
"Roanoke city, Virginia",Total households,3 workers,0 vehicles,Margin of Error,25
"Roanoke city, Virginia",Total households,3 workers,1 vehicle,Estimate,90
"Roanoke city, Virginia",Total households,3 workers,1 vehicle,Margin of Error,67
"Roanoke city, Virginia",Total households,3 workers,2 vehicles,Estimate,270
"Roanoke city, Virginia",Total households,3 workers,2 vehicles,Margin of Error,121
"Roanoke city, Virginia",Total households,3 workers,3-or-more vehicles,Estimate,"1,050"
"Roanoke city, Virginia",Total households,3 workers,3-or-more vehicles,Margin of Error,276
"Roanoke city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Estimate,305
"Roanoke city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Margin of Error,112
"Roanoke city, Virginia",Total households,4-or-more workers,0 vehicles,Estimate,10
"Roanoke city, Virginia",Total households,4-or-more workers,0 vehicles,Margin of Error,14
"Roanoke city, Virginia",Total households,4-or-more workers,1 vehicle,Estimate,60
"Roanoke city, Virginia",Total households,4-or-more workers,1 vehicle,Margin of Error,45
"Roanoke city, Virginia",Total households,4-or-more workers,2 vehicles,Estimate,45
"Roanoke city, Virginia",Total households,4-or-more workers,2 vehicles,Margin of Error,38
"Roanoke city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Estimate,190
"Roanoke city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Margin of Error,89
"Roanoke city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"15,655"
"Roanoke city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,720
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Estimate,"3,485"
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Margin of Error,389
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Estimate,"9,855"
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Margin of Error,688
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Estimate,"1,930"
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Margin of Error,267
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,385
"Roanoke city, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,140
"Roanoke city, Virginia",1-person household,0 workers,"Total, vehicles available",Estimate,"7,550"
"Roanoke city, Virginia",1-person household,0 workers,"Total, vehicles available",Margin of Error,515
"Roanoke city, Virginia",1-person household,0 workers,0 vehicles,Estimate,"2,580"
"Roanoke city, Virginia",1-person household,0 workers,0 vehicles,Margin of Error,330
"Roanoke city, Virginia",1-person household,0 workers,1 vehicle,Estimate,"4,070"
"Roanoke city, Virginia",1-person household,0 workers,1 vehicle,Margin of Error,409
"Roanoke city, Virginia",1-person household,0 workers,2 vehicles,Estimate,725
"Roanoke city, Virginia",1-person household,0 workers,2 vehicles,Margin of Error,148
"Roanoke city, Virginia",1-person household,0 workers,3-or-more vehicles,Estimate,175
"Roanoke city, Virginia",1-person household,0 workers,3-or-more vehicles,Margin of Error,93
"Roanoke city, Virginia",1-person household,1 worker,"Total, vehicles available",Estimate,"8,105"
"Roanoke city, Virginia",1-person household,1 worker,"Total, vehicles available",Margin of Error,609
"Roanoke city, Virginia",1-person household,1 worker,0 vehicles,Estimate,905
"Roanoke city, Virginia",1-person household,1 worker,0 vehicles,Margin of Error,218
"Roanoke city, Virginia",1-person household,1 worker,1 vehicle,Estimate,"5,785"
"Roanoke city, Virginia",1-person household,1 worker,1 vehicle,Margin of Error,559
"Roanoke city, Virginia",1-person household,1 worker,2 vehicles,Estimate,"1,205"
"Roanoke city, Virginia",1-person household,1 worker,2 vehicles,Margin of Error,220
"Roanoke city, Virginia",1-person household,1 worker,3-or-more vehicles,Estimate,210
"Roanoke city, Virginia",1-person household,1 worker,3-or-more vehicles,Margin of Error,85
"Roanoke city, Virginia",1-person household,2 workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",1-person household,2 workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",1-person household,2 workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,2 workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,2 workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",1-person household,2 workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",1-person household,2 workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,2 workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,2 workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,2 workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,3 workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",1-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",1-person household,3 workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,3 workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,3 workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",1-person household,3 workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",1-person household,3 workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,3 workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,3 workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",1-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",1-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",1-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"14,200"
"Roanoke city, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,780
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Estimate,"1,170"
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Margin of Error,277
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Estimate,"3,725"
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Margin of Error,463
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Estimate,"6,380"
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Margin of Error,560
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"2,920"
"Roanoke city, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,340
"Roanoke city, Virginia",2-person household,0 workers,"Total, vehicles available",Estimate,"3,575"
"Roanoke city, Virginia",2-person household,0 workers,"Total, vehicles available",Margin of Error,406
"Roanoke city, Virginia",2-person household,0 workers,0 vehicles,Estimate,495
"Roanoke city, Virginia",2-person household,0 workers,0 vehicles,Margin of Error,202
"Roanoke city, Virginia",2-person household,0 workers,1 vehicle,Estimate,"1,235"
"Roanoke city, Virginia",2-person household,0 workers,1 vehicle,Margin of Error,268
"Roanoke city, Virginia",2-person household,0 workers,2 vehicles,Estimate,"1,305"
"Roanoke city, Virginia",2-person household,0 workers,2 vehicles,Margin of Error,245
"Roanoke city, Virginia",2-person household,0 workers,3-or-more vehicles,Estimate,540
"Roanoke city, Virginia",2-person household,0 workers,3-or-more vehicles,Margin of Error,152
"Roanoke city, Virginia",2-person household,1 worker,"Total, vehicles available",Estimate,"5,450"
"Roanoke city, Virginia",2-person household,1 worker,"Total, vehicles available",Margin of Error,516
"Roanoke city, Virginia",2-person household,1 worker,0 vehicles,Estimate,530
"Roanoke city, Virginia",2-person household,1 worker,0 vehicles,Margin of Error,204
"Roanoke city, Virginia",2-person household,1 worker,1 vehicle,Estimate,"1,805"
"Roanoke city, Virginia",2-person household,1 worker,1 vehicle,Margin of Error,299
"Roanoke city, Virginia",2-person household,1 worker,2 vehicles,Estimate,"2,205"
"Roanoke city, Virginia",2-person household,1 worker,2 vehicles,Margin of Error,318
"Roanoke city, Virginia",2-person household,1 worker,3-or-more vehicles,Estimate,910
"Roanoke city, Virginia",2-person household,1 worker,3-or-more vehicles,Margin of Error,227
"Roanoke city, Virginia",2-person household,2 workers,"Total, vehicles available",Estimate,"5,175"
"Roanoke city, Virginia",2-person household,2 workers,"Total, vehicles available",Margin of Error,512
"Roanoke city, Virginia",2-person household,2 workers,0 vehicles,Estimate,145
"Roanoke city, Virginia",2-person household,2 workers,0 vehicles,Margin of Error,89
"Roanoke city, Virginia",2-person household,2 workers,1 vehicle,Estimate,685
"Roanoke city, Virginia",2-person household,2 workers,1 vehicle,Margin of Error,197
"Roanoke city, Virginia",2-person household,2 workers,2 vehicles,Estimate,"2,875"
"Roanoke city, Virginia",2-person household,2 workers,2 vehicles,Margin of Error,384
"Roanoke city, Virginia",2-person household,2 workers,3-or-more vehicles,Estimate,"1,470"
"Roanoke city, Virginia",2-person household,2 workers,3-or-more vehicles,Margin of Error,250
"Roanoke city, Virginia",2-person household,3 workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",2-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",2-person household,3 workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,3 workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,3 workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",2-person household,3 workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",2-person household,3 workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,3 workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,3 workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",2-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",2-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",2-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"6,460"
"Roanoke city, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,567
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Estimate,590
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Margin of Error,212
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Estimate,"1,595"
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Margin of Error,362
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Estimate,"2,590"
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Margin of Error,398
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"1,685"
"Roanoke city, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,310
"Roanoke city, Virginia",3-person household,0 workers,"Total, vehicles available",Estimate,865
"Roanoke city, Virginia",3-person household,0 workers,"Total, vehicles available",Margin of Error,201
"Roanoke city, Virginia",3-person household,0 workers,0 vehicles,Estimate,255
"Roanoke city, Virginia",3-person household,0 workers,0 vehicles,Margin of Error,105
"Roanoke city, Virginia",3-person household,0 workers,1 vehicle,Estimate,335
"Roanoke city, Virginia",3-person household,0 workers,1 vehicle,Margin of Error,141
"Roanoke city, Virginia",3-person household,0 workers,2 vehicles,Estimate,195
"Roanoke city, Virginia",3-person household,0 workers,2 vehicles,Margin of Error,101
"Roanoke city, Virginia",3-person household,0 workers,3-or-more vehicles,Estimate,85
"Roanoke city, Virginia",3-person household,0 workers,3-or-more vehicles,Margin of Error,56
"Roanoke city, Virginia",3-person household,1 worker,"Total, vehicles available",Estimate,"2,250"
"Roanoke city, Virginia",3-person household,1 worker,"Total, vehicles available",Margin of Error,438
"Roanoke city, Virginia",3-person household,1 worker,0 vehicles,Estimate,270
"Roanoke city, Virginia",3-person household,1 worker,0 vehicles,Margin of Error,159
"Roanoke city, Virginia",3-person household,1 worker,1 vehicle,Estimate,955
"Roanoke city, Virginia",3-person household,1 worker,1 vehicle,Margin of Error,287
"Roanoke city, Virginia",3-person household,1 worker,2 vehicles,Estimate,665
"Roanoke city, Virginia",3-person household,1 worker,2 vehicles,Margin of Error,181
"Roanoke city, Virginia",3-person household,1 worker,3-or-more vehicles,Estimate,365
"Roanoke city, Virginia",3-person household,1 worker,3-or-more vehicles,Margin of Error,142
"Roanoke city, Virginia",3-person household,2 workers,"Total, vehicles available",Estimate,"2,560"
"Roanoke city, Virginia",3-person household,2 workers,"Total, vehicles available",Margin of Error,380
"Roanoke city, Virginia",3-person household,2 workers,0 vehicles,Estimate,55
"Roanoke city, Virginia",3-person household,2 workers,0 vehicles,Margin of Error,52
"Roanoke city, Virginia",3-person household,2 workers,1 vehicle,Estimate,270
"Roanoke city, Virginia",3-person household,2 workers,1 vehicle,Margin of Error,138
"Roanoke city, Virginia",3-person household,2 workers,2 vehicles,Estimate,"1,535"
"Roanoke city, Virginia",3-person household,2 workers,2 vehicles,Margin of Error,331
"Roanoke city, Virginia",3-person household,2 workers,3-or-more vehicles,Estimate,700
"Roanoke city, Virginia",3-person household,2 workers,3-or-more vehicles,Margin of Error,149
"Roanoke city, Virginia",3-person household,3 workers,"Total, vehicles available",Estimate,780
"Roanoke city, Virginia",3-person household,3 workers,"Total, vehicles available",Margin of Error,223
"Roanoke city, Virginia",3-person household,3 workers,0 vehicles,Estimate,15
"Roanoke city, Virginia",3-person household,3 workers,0 vehicles,Margin of Error,26
"Roanoke city, Virginia",3-person household,3 workers,1 vehicle,Estimate,35
"Roanoke city, Virginia",3-person household,3 workers,1 vehicle,Margin of Error,41
"Roanoke city, Virginia",3-person household,3 workers,2 vehicles,Estimate,195
"Roanoke city, Virginia",3-person household,3 workers,2 vehicles,Margin of Error,111
"Roanoke city, Virginia",3-person household,3 workers,3-or-more vehicles,Estimate,540
"Roanoke city, Virginia",3-person household,3 workers,3-or-more vehicles,Margin of Error,196
"Roanoke city, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke city, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke city, Virginia",3-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke city, Virginia",3-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke city, Virginia",3-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke city, Virginia",3-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke city, Virginia",3-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke city, Virginia",3-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke city, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke city, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"6,225"
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,541
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Estimate,425
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Margin of Error,152
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Estimate,"1,645"
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Margin of Error,331
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Estimate,"2,325"
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Margin of Error,336
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"1,835"
"Roanoke city, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,304
"Roanoke city, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Estimate,530
"Roanoke city, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Margin of Error,184
"Roanoke city, Virginia",4-or-more-person household,0 workers,0 vehicles,Estimate,135
"Roanoke city, Virginia",4-or-more-person household,0 workers,0 vehicles,Margin of Error,92
"Roanoke city, Virginia",4-or-more-person household,0 workers,1 vehicle,Estimate,280
"Roanoke city, Virginia",4-or-more-person household,0 workers,1 vehicle,Margin of Error,139
"Roanoke city, Virginia",4-or-more-person household,0 workers,2 vehicles,Estimate,50
"Roanoke city, Virginia",4-or-more-person household,0 workers,2 vehicles,Margin of Error,47
"Roanoke city, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Estimate,65
"Roanoke city, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Margin of Error,52
"Roanoke city, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Estimate,"2,130"
"Roanoke city, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Margin of Error,310
"Roanoke city, Virginia",4-or-more-person household,1 worker,0 vehicles,Estimate,200
"Roanoke city, Virginia",4-or-more-person household,1 worker,0 vehicles,Margin of Error,107
"Roanoke city, Virginia",4-or-more-person household,1 worker,1 vehicle,Estimate,725
"Roanoke city, Virginia",4-or-more-person household,1 worker,1 vehicle,Margin of Error,213
"Roanoke city, Virginia",4-or-more-person household,1 worker,2 vehicles,Estimate,855
"Roanoke city, Virginia",4-or-more-person household,1 worker,2 vehicles,Margin of Error,214
"Roanoke city, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Estimate,345
"Roanoke city, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Margin of Error,115
"Roanoke city, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Estimate,"2,615"
"Roanoke city, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Margin of Error,382
"Roanoke city, Virginia",4-or-more-person household,2 workers,0 vehicles,Estimate,75
"Roanoke city, Virginia",4-or-more-person household,2 workers,0 vehicles,Margin of Error,54
"Roanoke city, Virginia",4-or-more-person household,2 workers,1 vehicle,Estimate,520
"Roanoke city, Virginia",4-or-more-person household,2 workers,1 vehicle,Margin of Error,202
"Roanoke city, Virginia",4-or-more-person household,2 workers,2 vehicles,Estimate,"1,295"
"Roanoke city, Virginia",4-or-more-person household,2 workers,2 vehicles,Margin of Error,271
"Roanoke city, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Estimate,725
"Roanoke city, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Margin of Error,190
"Roanoke city, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Estimate,645
"Roanoke city, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Margin of Error,192
"Roanoke city, Virginia",4-or-more-person household,3 workers,0 vehicles,Estimate,4
"Roanoke city, Virginia",4-or-more-person household,3 workers,0 vehicles,Margin of Error,28
"Roanoke city, Virginia",4-or-more-person household,3 workers,1 vehicle,Estimate,55
"Roanoke city, Virginia",4-or-more-person household,3 workers,1 vehicle,Margin of Error,47
"Roanoke city, Virginia",4-or-more-person household,3 workers,2 vehicles,Estimate,75
"Roanoke city, Virginia",4-or-more-person household,3 workers,2 vehicles,Margin of Error,61
"Roanoke city, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Estimate,510
"Roanoke city, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Margin of Error,179
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Estimate,305
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Margin of Error,112
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Estimate,10
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Margin of Error,14
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Estimate,60
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Margin of Error,45
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Estimate,45
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Margin of Error,38
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Estimate,190
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Margin of Error,89
"Salem city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Estimate,"10,060"
"Salem city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Margin of Error,239
"Salem city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Estimate,610
"Salem city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Margin of Error,171
"Salem city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Estimate,"3,740"
"Salem city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Margin of Error,299
"Salem city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Estimate,"3,355"
"Salem city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Margin of Error,322
"Salem city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Estimate,"2,355"
"Salem city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Margin of Error,235
"Salem city, Virginia",Total households,0 workers,"Total, vehicles available",Estimate,"2,665"
"Salem city, Virginia",Total households,0 workers,"Total, vehicles available",Margin of Error,243
"Salem city, Virginia",Total households,0 workers,0 vehicles,Estimate,380
"Salem city, Virginia",Total households,0 workers,0 vehicles,Margin of Error,131
"Salem city, Virginia",Total households,0 workers,1 vehicle,Estimate,"1,340"
"Salem city, Virginia",Total households,0 workers,1 vehicle,Margin of Error,205
"Salem city, Virginia",Total households,0 workers,2 vehicles,Estimate,715
"Salem city, Virginia",Total households,0 workers,2 vehicles,Margin of Error,140
"Salem city, Virginia",Total households,0 workers,3-or-more vehicles,Estimate,230
"Salem city, Virginia",Total households,0 workers,3-or-more vehicles,Margin of Error,76
"Salem city, Virginia",Total households,1 worker,"Total, vehicles available",Estimate,"4,080"
"Salem city, Virginia",Total households,1 worker,"Total, vehicles available",Margin of Error,302
"Salem city, Virginia",Total households,1 worker,0 vehicles,Estimate,205
"Salem city, Virginia",Total households,1 worker,0 vehicles,Margin of Error,92
"Salem city, Virginia",Total households,1 worker,1 vehicle,Estimate,"2,040"
"Salem city, Virginia",Total households,1 worker,1 vehicle,Margin of Error,275
"Salem city, Virginia",Total households,1 worker,2 vehicles,Estimate,"1,050"
"Salem city, Virginia",Total households,1 worker,2 vehicles,Margin of Error,171
"Salem city, Virginia",Total households,1 worker,3-or-more vehicles,Estimate,785
"Salem city, Virginia",Total households,1 worker,3-or-more vehicles,Margin of Error,158
"Salem city, Virginia",Total households,2 workers,"Total, vehicles available",Estimate,"2,775"
"Salem city, Virginia",Total households,2 workers,"Total, vehicles available",Margin of Error,302
"Salem city, Virginia",Total households,2 workers,0 vehicles,Estimate,25
"Salem city, Virginia",Total households,2 workers,0 vehicles,Margin of Error,26
"Salem city, Virginia",Total households,2 workers,1 vehicle,Estimate,315
"Salem city, Virginia",Total households,2 workers,1 vehicle,Margin of Error,134
"Salem city, Virginia",Total households,2 workers,2 vehicles,Estimate,"1,580"
"Salem city, Virginia",Total households,2 workers,2 vehicles,Margin of Error,257
"Salem city, Virginia",Total households,2 workers,3-or-more vehicles,Estimate,855
"Salem city, Virginia",Total households,2 workers,3-or-more vehicles,Margin of Error,168
"Salem city, Virginia",Total households,3 workers,"Total, vehicles available",Estimate,480
"Salem city, Virginia",Total households,3 workers,"Total, vehicles available",Margin of Error,124
"Salem city, Virginia",Total households,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",Total households,3 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,3 workers,1 vehicle,Estimate,40
"Salem city, Virginia",Total households,3 workers,1 vehicle,Margin of Error,47
"Salem city, Virginia",Total households,3 workers,2 vehicles,Estimate,10
"Salem city, Virginia",Total households,3 workers,2 vehicles,Margin of Error,13
"Salem city, Virginia",Total households,3 workers,3-or-more vehicles,Estimate,430
"Salem city, Virginia",Total households,3 workers,3-or-more vehicles,Margin of Error,120
"Salem city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Estimate,60
"Salem city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Margin of Error,45
"Salem city, Virginia",Total households,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,1 vehicle,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,2 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Estimate,60
"Salem city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Margin of Error,45
"Salem city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"3,265"
"Salem city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,318
"Salem city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Estimate,350
"Salem city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Margin of Error,111
"Salem city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Estimate,"2,220"
"Salem city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Margin of Error,276
"Salem city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Estimate,510
"Salem city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Margin of Error,104
